provider_id,name,specialty,city,state,zip_code,Phone Numbers
2,Lewis Ltd,General Practitioner,South Joshuahaven,Connecticut,14837,9891321074
6,"Cohen, Clark and Campbell",General Practitioner,Williamshaven,Virginia,39340,5766369521
10,Davis LLC,General Practitioner,South Christineview,South Dakota,47016,4196055530
11,Vasquez LLC,General Practitioner,Heatherfort,Vermont,90436,4662268342
14,"Price, Clarke and Lindsey",General Practitioner,East Taylortown,Michigan,90794,4782071163
18,"Adkins, Sosa and Mueller",General Practitioner,Josephland,Indiana,15216,8688065426
23,Newton Inc,General Practitioner,West John,Texas,30552,7248544381
25,Cunningham-Browning,General Practitioner,Smithburgh,Mississippi,51457,1331548086
27,"Morris, Costa and Cook",General Practitioner,Allenport,Maine,74331,6335083637
32,Jones-Taylor,General Practitioner,South Nicolefort,Oklahoma,18821,5287843911
39,Johnson-Anderson,General Practitioner,West Jeanette,Iowa,17607,7645508797
47,Solis PLC,General Practitioner,East Mike,North Carolina,10706,4832820078
50,Sanchez LLC,General Practitioner,Brandonmouth,Rhode Island,32309,5155321149
54,Hogan-Rojas,General Practitioner,Port Kenneth,Connecticut,80438,5749149640
55,Huffman-Wallace,General Practitioner,Andrewtown,Idaho,27189,1728880669
63,Lee PLC,General Practitioner,Walkermouth,Missouri,29302,2599446421
65,Smith-Simmons,General Practitioner,Stewartton,Mississippi,70000,3346732112
66,Clark-Campos,General Practitioner,New Meredithburgh,Maryland,55357,9406104611
70,"Reeves, Banks and Johnson",General Practitioner,Alexport,South Dakota,4641,7953067645
86,"Larson, Deleon and Howard",General Practitioner,North Laceyburgh,South Carolina,97471,8613316673
88,"Rogers, Lane and Floyd",General Practitioner,South Joshua,Wisconsin,97027,0411108665
97,"Larson, Harris and Villegas",General Practitioner,Kaitlyntown,Michigan,42834,6485697767
102,Baker-Greene,General Practitioner,Hamiltonville,Montana,8017,8050158672
107,Marshall Ltd,General Practitioner,Port Brittany,Minnesota,61962,4212053075
114,"Ramos, Montgomery and Byrd",General Practitioner,Millermouth,Oregon,74975,8504465996
120,Miller-Morton,General Practitioner,Christianville,Ohio,85737,9079624462
123,"Rice, Adams and Higgins",General Practitioner,Lake Sarahhaven,California,78874,4128221726
125,Miller Ltd,General Practitioner,Garciafurt,Rhode Island,75095,6815459952
128,Myers-Holloway,General Practitioner,Port Colleenhaven,New York,91163,9257133569
133,"Lopez, White and Franco",General Practitioner,Kennethberg,New York,73813,1587815157
138,"Brown, Clay and Mooney",General Practitioner,Kyleborough,North Carolina,52617,7017954059
139,"Keller, Lopez and Ward",General Practitioner,Ronaldborough,Washington,38630,7507532101
144,"Powell, Greene and Chapman",General Practitioner,South Carlashire,Virginia,22319,7462611443
148,Baker PLC,General Practitioner,South Benjaminport,Arkansas,59714,2869118587
152,Baker LLC,General Practitioner,Williamview,Virginia,51314,9943060949
156,Pierce-Adams,General Practitioner,Hayesside,Nevada,20437,2220347619
161,Rasmussen Group,General Practitioner,Bradyfort,Georgia,18633,1519809453
164,"Carter, Hayes and Morales",General Practitioner,East Jenniferfort,California,85277,1597919977
172,"Hendrix, Bell and Stout",General Practitioner,Port Amandahaven,Maine,13947,0099281265
183,"Wilson, Luna and Andrews",General Practitioner,East Christopher,Massachusetts,23363,1855740996
190,Moreno-Warren,General Practitioner,Angelaton,Indiana,47394,2498402326
196,"Herman, White and Brown",General Practitioner,Lake Nathan,New Mexico,30135,7672818441
203,Flores PLC,General Practitioner,Jonbury,Ohio,54267,4559108458
205,"Cook, Mcpherson and Baker",General Practitioner,Bakerfort,Wyoming,84234,0022751674
206,Gonzalez Group,General Practitioner,South Jason,Pennsylvania,64918,7521974312
210,Greer Group,General Practitioner,Port Davidstad,North Dakota,4281,0596465426
213,Long Ltd,General Practitioner,North Ianfurt,Oregon,30707,6666586269
214,Lopez Group,General Practitioner,Brittneyfort,South Dakota,27164,2933710349
216,"Berry, Wilson and Haney",General Practitioner,Lake Mary,Ohio,42331,7384336491
218,"Graves, Lowe and Reese",General Practitioner,Smithmouth,Delaware,33717,4541965948
223,Ellison and Sons,General Practitioner,New Alexanderhaven,Wisconsin,81365,4902261211
227,Duke Group,General Practitioner,South Grant,Montana,89814,9689736092
233,"Macdonald, Ewing and Morris",General Practitioner,West Becky,North Carolina,95099,7789286285
240,Travis-Palmer,General Practitioner,Ruizside,Maine,12732,4147513986
241,Robbins and Sons,General Practitioner,New Shellystad,Oregon,21609,4668319319
246,"Turner, Ross and Hickman",General Practitioner,Chavezport,New Mexico,20540,7517095489
247,"Hernandez, Reynolds and Johnson",General Practitioner,Ronniefort,Wyoming,57057,5163421607
253,"Hogan, Lloyd and Davis",General Practitioner,Sanfordmouth,Idaho,22632,4885734914
254,Martin and Sons,General Practitioner,South Brittany,Texas,25160,6033014284
256,"Williams, Smith and Allen",General Practitioner,Taylortown,Tennessee,44348,8585120358
257,Fisher-Kane,General Practitioner,Sparksland,Iowa,761,8364888468
264,Smith-Jackson,General Practitioner,Millerview,Indiana,17350,2327454517
272,Ramirez and Sons,General Practitioner,West Jason,Vermont,79399,8305573971
279,Price-Gross,General Practitioner,Elizabethmouth,Nevada,40130,4440335295
280,Chandler-Bailey,General Practitioner,East Ericshire,Hawaii,10133,6662030250
294,Diaz Inc,General Practitioner,East Alexisfurt,Michigan,19671,7458383830
300,"Sampson, Brennan and Scott",General Practitioner,Kingborough,Colorado,56506,1084543606
306,Bonilla PLC,General Practitioner,Mayfort,Delaware,35544,4293388634
315,Byrd-Sweeney,General Practitioner,Perezborough,Hawaii,45674,6766286445
321,"Gregory, Stanley and Watkins",General Practitioner,New Christopherburgh,North Carolina,14060,7832143214
325,Buckley-Schmitt,General Practitioner,Tiffanystad,New Hampshire,29299,6116564185
340,"Lawrence, Sanchez and Mcdonald",General Practitioner,West Lisa,Utah,83100,2134448509
341,Munoz and Sons,General Practitioner,Escobartown,Nevada,78989,0635434151
342,Hall-Carpenter,General Practitioner,Jennifershire,Maryland,11434,2132392950
343,Simpson-Harding,General Practitioner,Lake Jack,Alaska,2650,0645856260
379,"Smith, Wright and Collins",General Practitioner,New Joshua,Wyoming,34545,9115514807
385,Parker Ltd,General Practitioner,South Ashleytown,West Virginia,20835,4300961386
388,"Jackson, Martin and Stewart",General Practitioner,North Sherry,North Carolina,50412,4353302080
393,Jackson-Meyer,General Practitioner,Lukehaven,Indiana,82689,2823125853
400,Phillips PLC,General Practitioner,East Kristinport,Ohio,96433,6776148646
404,"Watts, Parsons and Stewart",General Practitioner,South Tiffanyhaven,Alaska,59277,7739384866
406,Walker Group,General Practitioner,Port Vincent,California,38551,3382334012
407,"Bowman, Wilson and Chavez",General Practitioner,Port Brianhaven,Hawaii,62191,2658238121
408,Lewis Group,General Practitioner,Tinaburgh,Nebraska,66861,2545804151
420,"Perez, Adams and Pena",General Practitioner,Lake Thomas,Maine,13213,0177092170
428,Nguyen and Sons,General Practitioner,South Karenbury,Pennsylvania,40732,1467312114
441,Clark Ltd,General Practitioner,Blakefort,Iowa,66648,5948091422
442,Smith-Moore,General Practitioner,Port Staceybury,Nevada,11440,0951003367
444,Maldonado Group,General Practitioner,Shortside,Mississippi,94283,9024544177
445,Morse Group,General Practitioner,West Scottborough,Alaska,11854,3376880532
449,Castillo PLC,General Practitioner,New Michaeltown,Wisconsin,58703,2766525518
456,Miller Ltd,General Practitioner,Dixonton,Ohio,55587,5951237983
458,Anderson LLC,General Practitioner,South Stephen,Wyoming,68060,0247506812
460,Dennis PLC,General Practitioner,Thomasview,Kentucky,78250,6686357677
474,Mcclain-Chase,General Practitioner,South Lisaborough,Utah,5299,0319985423
475,"Allen, Rivera and Greene",General Practitioner,West Jamesstad,Missouri,27375,3480870998
480,Watson and Sons,General Practitioner,Riveramouth,Virginia,75079,6971829212
482,King and Sons,General Practitioner,Kurtburgh,Connecticut,15292,9648170117
483,"Freeman, Banks and Howell",General Practitioner,Lake Susanshire,Massachusetts,55166,8879250942
485,Rowe Inc,General Practitioner,New Jessica,Rhode Island,67057,0149901298
486,Schroeder Group,General Practitioner,Lake Amy,Delaware,30360,1820331787
491,"Cunningham, White and Berry",General Practitioner,South Michael,New Mexico,97383,8065716387
514,Rodriguez Inc,General Practitioner,Ashleyfort,New Jersey,25559,6209845054
516,Ross Ltd,General Practitioner,East Kent,Maine,83685,1411988403
517,Jones LLC,General Practitioner,Port Derekville,Arkansas,44440,0213212734
519,Cannon-Strickland,General Practitioner,Port Julie,Montana,50794,4910364018
527,Miller Ltd,General Practitioner,Lake Frankchester,Maine,17811,5992356561
532,Rose Ltd,General Practitioner,Wilsonland,South Carolina,6737,9656868057
541,Mcintyre-Ortiz,General Practitioner,Michelleburgh,Virginia,3313,7479801876
544,"Lester, Campos and Patterson",General Practitioner,East Anthonychester,Mississippi,85250,4905509574
549,King-Floyd,General Practitioner,South Sarahside,Minnesota,6942,9084884276
556,"Mitchell, Stevens and Cain",General Practitioner,Port Andrea,Minnesota,23437,9363588684
558,"King, Beck and Franco",General Practitioner,Ortizport,Kentucky,96217,0069960616
559,Harper PLC,General Practitioner,New Angelaberg,Maryland,62452,5416950715
562,"Delacruz, Smith and Holland",General Practitioner,Shawburgh,Maine,71762,2155815079
570,Diaz-Dawson,General Practitioner,Lake Patriciaton,Texas,70670,0511251193
